"date","age_group","population","population_vaccinated","population_unvaccinated"
2021 Apr,"0-20",1347344,3741,1343603
2021 Apr,"21-40",1424781,49734,1375047
2021 Apr,"41-60",1288996,49110,1239886
2021 Apr,"61-80",881113,21766,859347
2021 Apr,"81+",167926,1720,166206
2021 May,"0-20",1347470,7638,1339832
2021 May,"21-40",1423690,94749,1328941
2021 May,"41-60",1288810,103929,1184881
2021 May,"61-80",882850,77033,805817
2021 May,"81+",168480,15991,152489
2021 Jun,"0-20",1347063,11716,1335347
2021 Jun,"21-40",1423214,130631,1292583
2021 Jun,"41-60",1288587,157079,1131508
2021 Jun,"61-80",884571,210433,674138
2021 Jun,"81+",169085,53471,115614
2021 Jul,"0-20",1346657,17301,1329356
2021 Jul,"21-40",1422736,171604,1251132
2021 Jul,"41-60",1288363,231707,1056656
2021 Jul,"61-80",886289,373710,512579
2021 Jul,"81+",169685,90504,79181
2021 Aug,"0-20",1346250,62942,1283308
2021 Aug,"21-40",1422260,339026,1083234
2021 Aug,"41-60",1288140,505350,782790
2021 Aug,"61-80",888010,621806,266204
2021 Aug,"81+",170290,129480,40810
2021 Sep,"0-20",1345698,293021,1052677
2021 Sep,"21-40",1421319,798258,623061
2021 Sep,"41-60",1287563,931999,355564
2021 Sep,"61-80",889802,752456,137346
2021 Sep,"81+",171073,147075,23998
2021 Oct,"0-20",1345152,421472,923680
2021 Oct,"21-40",1420381,1068842,351539
2021 Oct,"41-60",1286987,1083538,203449
2021 Oct,"61-80",891598,795174,96424
2021 Oct,"81+",171857,153802,18055
2021 Nov,"0-20",1344600,484936,859664
2021 Nov,"21-40",1419440,1197572,221868
2021 Nov,"41-60",1286410,1142907,143503
2021 Nov,"61-80",893390,813180,80210
2021 Nov,"81+",172640,155882,16758
2021 Dec,"0-20",1343860,525206,818654
2021 Dec,"21-40",1417980,1273582,144398
2021 Dec,"41-60",1285844,1175460,110384
2021 Dec,"61-80",895075,822280,72795
2021 Dec,"81+",173207,155890,17317
2022 Jan,"0-20",1343120,537268,805852
2022 Jan,"21-40",1416520,1296913,119607
2022 Jan,"41-60",1285276,1185780,99496
2022 Jan,"61-80",896765,826965,69800
2022 Jan,"81+",173773,155890,17883
2022 Feb,"0-20",1342380,602277,740103
2022 Feb,"21-40",1415060,1308282,106778
2022 Feb,"41-60",1284710,1188447,96263
2022 Feb,"61-80",898450,832691,65759
2022 Feb,"81+",174340,155890,18450
2022 Mar,"0-20",1342500,734994,607506
2022 Mar,"21-40",1414009,1314255,99754
2022 Mar,"41-60",1284259,1189789,94470
2022 Mar,"61-80",900126,833625,66501
2022 Mar,"81+",174749,155890,18859
2022 Apr,"0-20",1342620,734994,607626
2022 Apr,"21-40",1412961,1316802,96159
2022 Apr,"41-60",1283811,1189790,94021
2022 Apr,"61-80",901804,833625,68179
2022 Apr,"81+",175161,155890,19271
2022 May,"0-20",1342740,734994,607746
2022 May,"21-40",1411910,1318105,93805
2022 May,"41-60",1283360,1189790,93570
2022 May,"61-80",903480,833625,69855
2022 May,"81+",175570,155890,19680
2022 Jun,"0-20",1343364,734994,608370
2022 Jun,"21-40",1413714,1319394,94320
2022 Jun,"41-60",1283412,1189790,93622
2022 Jun,"61-80",905301,833625,71676
2022 Jun,"81+",176000,155891,20109
2022 Jul,"0-20",1343986,734994,608992
2022 Jul,"21-40",1415516,1320796,94720
2022 Jul,"41-60",1283468,1189790,93678
2022 Jul,"61-80",907129,833625,73504
2022 Jul,"81+",176430,157063,19367
2022 Aug,"0-20",1344610,734994,609616
2022 Aug,"21-40",1417320,1323463,93857
2022 Aug,"41-60",1283520,1193802,89718
2022 Aug,"61-80",908950,851507,57443
2022 Aug,"81+",176860,164555,12305
2022 Sep,"0-20",1345506,734994,610512
2022 Sep,"21-40",1422187,1324597,97590
2022 Sep,"41-60",1284638,1194813,89825
2022 Sep,"61-80",911111,857907,53204
2022 Sep,"81+",177576,166352,11224
2022 Oct,"0-20",1346404,734994,611410
2022 Oct,"21-40",1427053,1324831,102222
2022 Oct,"41-60",1285752,1194813,90939
2022 Oct,"61-80",913269,860354,52915
2022 Oct,"81+",178294,166715,11579
2022 Nov,"0-20",1347300,734994,612306
2022 Nov,"21-40",1431920,1325068,106852
2022 Nov,"41-60",1286870,1194814,92056
2022 Nov,"61-80",915430,862660,52770
2022 Nov,"81+",179010,167034,11976
2022 Dec,"0-20",1349676,734994,614682
2022 Dec,"21-40",1438744,1325358,113386
2022 Dec,"41-60",1288936,1194943,93993
2022 Dec,"61-80",917816,864996,52820
2022 Dec,"81+",179722,167347,12375
2023 Jan,"0-20",1352054,734994,617060
2023 Jan,"21-40",1445566,1325633,119933
2023 Jan,"41-60",1291004,1195261,95743
2023 Jan,"61-80",920204,867503,52701
2023 Jan,"81+",180428,167580,12848
2023 Feb,"0-20",1354430,734994,619436
2023 Feb,"21-40",1452390,1326012,126378
2023 Feb,"41-60",1293070,1195291,97779
2023 Feb,"61-80",922590,870153,52437
2023 Feb,"81+",181140,167842,13298
2023 Mar,"0-20",1356725,734994,621731
2023 Mar,"21-40",1457803,1326436,131367
2023 Mar,"41-60",1294680,1195291,99389
2023 Mar,"61-80",924611,872711,51900
2023 Mar,"81+",181659,168165,13494
2023 Apr,"0-20",1359025,734994,624031
2023 Apr,"21-40",1463217,1326835,136382
2023 Apr,"41-60",1296290,1195460,100830
2023 Apr,"61-80",926629,875276,51353
2023 Apr,"81+",182181,168486,13695
2023 May,"0-20",1361320,734994,626326
2023 May,"21-40",1468630,1327117,141513
2023 May,"41-60",1297900,1195713,102187
2023 May,"61-80",928650,876691,51959
2023 May,"81+",182700,168640,14060
