"date","age_group","population","population_vaccinated","population_unvaccinated"
2021 Apr,"10",67823,-1507,69330
2021 Apr,"11",68377,-620,68997
2021 Apr,"12",67547,-83,67630
2021 Apr,"13",67730,-10,67740
2021 Apr,"14",65647,62,65585
2021 Apr,"15",63080,164,62916
2021 Apr,"16",62527,299,62228
2021 Apr,"17",62800,467,62333
2021 Apr,"18",62523,661,61862
2021 Apr,"19",63117,906,62211
2021 Apr,"20",65713,1331,64382
2021 Apr,"21",66297,1628,64669
2021 Apr,"22",64897,1927,62970
2021 Apr,"23",67130,2243,64887
2021 Apr,"24",67963,2501,65462
2021 Apr,"25",70393,2693,67700
2021 Apr,"26",71793,2853,68940
2021 Apr,"27",73253,2961,70292
2021 Apr,"28",76747,3000,73747
2021 Apr,"29",79013,2984,76029
2021 Apr,"30",80173,2899,77274
2021 Apr,"31",78803,2822,75981
2021 Apr,"32",76243,2724,73519
2021 Apr,"33",75590,2627,72963
2021 Apr,"34",71890,2507,69383
2021 Apr,"35",69953,2405,67548
2021 Apr,"36",68873,2319,66554
2021 Apr,"37",68050,2234,65816
2021 Apr,"38",67407,2169,65238
2021 Apr,"39",65813,2126,63687
2021 Apr,"40",64500,2102,62398
2021 Apr,"41",63603,2088,61515
2021 Apr,"42",62287,2094,60193
2021 Apr,"43",60683,2118,58565
2021 Apr,"44",61083,2150,58933
2021 Apr,"45",60720,2198,58522
2021 Apr,"46",62843,2261,60582
2021 Apr,"47",64757,2323,62434
2021 Apr,"48",66880,2392,64488
2021 Apr,"49",68663,2471,66192
2021 Apr,"50",68700,2548,66152
2021 Apr,"51",66653,2608,64045
2021 Apr,"52",66663,2666,63997
2021 Apr,"53",64853,2705,62148
2021 Apr,"54",63507,2726,60781
2021 Apr,"55",63077,2732,60345
2021 Apr,"56",63890,2714,61176
2021 Apr,"57",65387,2678,62709
2021 Apr,"58",66360,2626,63734
2021 Apr,"59",65150,2551,62599
2021 Apr,"60",63237,2452,60785
2021 Apr,"61",60943,2347,58596
2021 Apr,"62",59583,2226,57357
2021 Apr,"63",57437,2089,55348
2021 Apr,"64",55510,1949,53561
2021 Apr,"65",53993,1800,52193
2021 Apr,"66",52303,1640,50663
2021 Apr,"67",50263,1485,48778
2021 Apr,"68",48673,1331,47342
2021 Apr,"69",47100,1174,45926
2021 Apr,"70",45603,1019,44584
2021 Apr,"71",44823,885,43938
2021 Apr,"72",43423,757,42666
2021 Apr,"73",43127,643,42484
2021 Apr,"74",41713,544,41169
2021 Apr,"75",34923,458,34465
2021 Apr,"76",32050,382,31668
2021 Apr,"77",29673,322,29351
2021 Apr,"78",26067,271,25796
2021 Apr,"79",27863,230,27633
2021 Apr,"80",26043,204,25839
2021 Apr,"81",22917,177,22740
2021 Apr,"82",20213,155,20058
2021 Apr,"83",18040,140,17900
2021 Apr,"84",15947,126,15821
2021 Apr,"85",14023,113,13910
2021 Apr,"86",12677,104,12573
2021 Apr,"87",11277,95,11182
2021 Apr,"88",9750,86,9664
2021 Apr,"89",8550,79,8471
2021 Apr,"90",7693,70,7623
2021 Apr,"91",6400,65,6335
2021 Apr,"92",5163,60,5103
2021 Apr,"93",3963,56,3907
2021 Apr,"94",3150,54,3096
2021 Apr,"95+",8163,141,8022
2021 May,"10",67690,-1507,69197
2021 Jun,"10",67603,-1507,69110
2021 Jul,"10",67517,-1507,69024
2021 May,"11",68530,-620,69150
2021 Jun,"11",68530,-620,69150
2021 Jul,"11",68530,-620,69150
2021 May,"12",67500,-82,67582
2021 Jun,"12",67547,-75,67622
2021 Jul,"12",67593,-37,67630
2021 May,"13",67740,31,67709
2021 Jun,"13",67780,138,67642
2021 Jul,"13",67820,344,67476
2021 May,"14",65980,193,65787
2021 Jun,"14",66273,411,65862
2021 Jul,"14",66567,779,65788
2021 May,"15",63270,404,62866
2021 Jun,"15",63410,739,62671
2021 Jul,"15",63550,1266,62284
2021 May,"16",62410,670,61740
2021 Jun,"16",62403,1130,61273
2021 Jul,"16",62397,1812,60585
2021 May,"17",62870,993,61877
2021 Jun,"17",62937,1584,61353
2021 Jul,"17",63003,2419,60584
2021 May,"18",62600,1356,61244
2021 Jun,"18",62483,2082,60401
2021 Jul,"18",62367,3065,59302
2021 May,"19",63020,1805,61215
2021 Jun,"19",62827,2678,60149
2021 Jul,"19",62633,3804,58829
2021 May,"20",65380,2531,62849
2021 Jun,"20",65067,3577,61490
2021 Jul,"20",64753,4835,59918
2021 May,"21",66330,3059,63271
2021 Jun,"21",66310,4249,62061
2021 Jul,"21",66290,5631,60659
2021 May,"22",64910,3585,61325
2021 Jun,"22",64910,4914,59996
2021 Jul,"22",64910,6411,58499
2021 May,"23",66830,4140,62690
2021 Jun,"23",66533,5608,60925
2021 Jul,"23",66237,7211,59026
2021 May,"24",67790,4599,63191
2021 Jun,"24",67680,6187,61493
2021 Jul,"24",67570,7889,59681
2021 May,"25",70090,4951,65139
2021 Jun,"25",69707,6640,63067
2021 Jul,"25",69323,8431,60892
2021 May,"26",71560,5249,66311
2021 Jun,"26",71440,7027,64413
2021 Jul,"26",71320,8898,62422
2021 May,"27",72950,5463,67487
2021 Jun,"27",72710,7314,65396
2021 Jul,"27",72470,9259,63211
2021 May,"28",76400,5562,70838
2021 Jun,"28",76000,7464,68536
2021 Jul,"28",75600,9474,66126
2021 May,"29",78740,5570,73170
2021 Jun,"29",78553,7507,71046
2021 Jul,"29",78367,9574,68793
2021 May,"30",79880,5466,74414
2021 Jun,"30",79747,7421,72326
2021 Jul,"30",79613,9539,70074
2021 May,"31",79110,5364,73746
2021 Jun,"31",79287,7328,71959
2021 Jul,"31",79463,9490,69973
2021 May,"32",76260,5224,71036
2021 Jun,"32",76360,7189,69171
2021 Jul,"32",76460,9389,67071
2021 May,"33",75520,5079,70441
2021 Jun,"33",75640,7039,68601
2021 Jul,"33",75760,9273,66487
2021 May,"34",72200,4891,67309
2021 Jun,"34",72610,6834,65776
2021 Jul,"34",73020,9096,63924
2021 May,"35",70080,4728,65352
2021 Jun,"35",70217,6657,63560
2021 Jul,"35",70353,8947,61406
2021 May,"36",68930,4586,64344
2021 Jun,"36",69090,6501,62589
2021 Jul,"36",69250,8817,60433
2021 May,"37",68230,4441,63789
2021 Jun,"37",68210,6337,61873
2021 Jul,"37",68190,8676,59514
2021 May,"38",67370,4330,63040
2021 Jun,"38",67387,6212,61175
2021 Jul,"38",67403,8578,58825
2021 May,"39",66000,4253,61747
2021 Jun,"39",66173,6126,60047
2021 Jul,"39",66347,8521,57826
2021 May,"40",64510,4201,60309
2021 Jun,"40",64650,6068,58582
2021 Jul,"40",64790,8492,56298
2021 May,"41",63590,4177,59413
2021 Jun,"41",63733,6044,57689
2021 Jul,"41",63877,8504,55373
2021 May,"42",62590,4191,58399
2021 Jun,"42",62633,6066,56567
2021 Jul,"42",62677,8565,54112
2021 May,"43",60620,4236,56384
2021 Jun,"43",60727,6123,54604
2021 Jul,"43",60833,8665,52168
2021 May,"44",61130,4306,56824
2021 Jun,"44",61080,6217,54863
2021 Jul,"44",61030,8815,52215
2021 May,"45",60690,4409,56281
2021 Jun,"45",60687,6355,54332
2021 Jul,"45",60683,9017,51666
2021 May,"46",62580,4546,58034
2021 Jun,"46",62433,6534,55899
2021 Jul,"46",62287,9266,53021
2021 May,"47",64680,4689,59991
2021 Jun,"47",64437,6735,57702
2021 Jul,"47",64193,9561,54632
2021 May,"48",66620,4853,61767
2021 Jun,"48",66333,6972,59361
2021 Jul,"48",66047,9908,56139
2021 May,"49",68630,5042,63588
2021 Jun,"49",68543,7245,61298
2021 Jul,"49",68457,10304,58153
2021 May,"50",68940,5235,63705
2021 Jun,"50",68987,7540,61447
2021 Jul,"50",69033,10740,58293
2021 May,"51",66550,5403,61147
2021 Jun,"51",66683,7830,58853
2021 Jul,"51",66817,11216,55601
2021 May,"52",66650,5577,61073
2021 Jun,"52",66700,8143,58557
2021 Jul,"52",66750,11737,55013
2021 May,"53",65040,5719,59321
2021 Jun,"53",65140,8444,56696
2021 Jul,"53",65240,12280,52960
2021 May,"54",63610,5835,57775
2021 Jun,"54",63680,8742,54938
2021 Jul,"54",63750,12857,50893
2021 May,"55",62910,5927,56983
2021 Jun,"55",62910,9035,53875
2021 Jul,"55",62910,13458,49452
2021 May,"56",63790,5977,57813
2021 Jun,"56",63657,9308,54349
2021 Jul,"56",63523,14075,49448
2021 May,"57",65230,6001,59229
2021 Jun,"57",65037,9576,55461
2021 Jul,"57",64843,14722,50121
2021 May,"58",66250,5993,60257
2021 Jun,"58",66237,9828,56409
2021 Jul,"58",66223,15357,50866
2021 May,"59",65290,5947,59343
2021 Jun,"59",65340,10064,55276
2021 Jul,"59",65390,15998,49392
2021 May,"60",63420,5858,57562
2021 Jun,"60",63610,10270,53340
2021 Jul,"60",63800,16652,47148
2021 May,"61",61020,5755,55265
2021 Jun,"61",61147,10479,50668
2021 Jul,"61",61273,17270,44003
2021 May,"62",59870,5624,54246
2021 Jun,"62",59857,10678,49179
2021 Jul,"62",59843,17872,41971
2021 May,"63",57370,5461,51909
2021 Jun,"63",57473,10867,46606
2021 Jul,"63",57577,18470,39107
2021 May,"64",55640,5286,50354
2021 Jun,"64",55830,11031,44799
2021 Jul,"64",56020,18998,37022
2021 May,"65",54120,5092,49028
2021 Jun,"65",54197,11186,43011
2021 Jul,"65",54273,19484,34789
2021 May,"66",52360,4875,47485
2021 Jun,"66",52480,11331,41149
2021 Jul,"66",52600,19941,32659
2021 May,"67",50490,4656,45834
2021 Jun,"67",50607,11429,39178
2021 Jul,"67",50723,20287,30436
2021 May,"68",48580,4428,44152
2021 Jun,"68",48617,11496,37121
2021 Jul,"68",48653,20545,28108
2021 May,"69",47230,4186,43044
2021 Jun,"69",47347,11539,35808
2021 Jul,"69",47463,20737,26726
2021 May,"70",45560,3943,41617
2021 Jun,"70",45610,11552,34058
2021 Jul,"70",45660,20842,24818
2021 May,"71",44920,3711,41209
2021 Jun,"71",44880,11455,33425
2021 Jul,"71",44840,20735,24105
2021 May,"72",43370,3476,39894
2021 Jun,"72",43453,11307,32146
2021 Jul,"72",43537,20511,23026
2021 May,"73",43150,3252,39898
2021 Jun,"73",43050,11083,31967
2021 Jul,"73",42950,20137,22813
2021 May,"74",42040,3039,39001
2021 Jun,"74",42203,10767,31436
2021 Jul,"74",42367,19578,22789
2021 May,"75",35000,2831,32169
2021 Jun,"75",35397,10374,25023
2021 Jul,"75",35793,18861,16932
2021 May,"76",32270,2634,29636
2021 Jun,"76",32503,9929,22574
2021 Jul,"76",32737,18045,14692
2021 May,"77",30000,2448,27552
2021 Jun,"77",30030,9399,20631
2021 Jul,"77",30060,17062,12998
2021 May,"78",25830,2272,23558
2021 Jun,"78",25970,8821,17149
2021 Jul,"78",26110,15985,10125
2021 May,"79",27880,2105,25775
2021 Jun,"79",27723,8209,19514
2021 Jul,"79",27567,14843,12724
2021 May,"80",26150,1952,24198
2021 Jun,"80",26197,7492,18705
2021 Jul,"80",26243,13497,12746
2021 May,"81",23180,1801,21379
2021 Jun,"81",23400,6845,16555
2021 Jul,"81",23620,12285,11335
2021 May,"82",20210,1657,18553
2021 Jun,"82",20320,6205,14115
2021 Jul,"82",20430,11088,9342
2021 May,"83",18080,1522,16558
2021 Jun,"83",18223,5546,12677
2021 Jul,"83",18367,9855,8512
2021 May,"84",16030,1391,14639
2021 Jun,"84",16057,4933,11124
2021 Jul,"84",16083,8707,7376
2021 May,"85",14110,1266,12844
2021 Jun,"85",14210,4364,9846
2021 Jul,"85",14310,7645,6665
2021 May,"86",12630,1146,11484
2021 Jun,"86",12583,3815,8768
2021 Jul,"86",12537,6620,5917
2021 May,"87",11310,1033,10277
2021 Jun,"87",11360,3315,8045
2021 Jul,"87",11410,5688,5722
2021 May,"88",9780,925,8855
2021 Jun,"88",9817,2862,6955
2021 Jul,"88",9853,4847,5006
2021 May,"89",8560,823,7737
2021 Jun,"89",8557,2452,6105
2021 Jul,"89",8553,4086,4467
2021 May,"90",7650,726,6924
2021 Jun,"90",7587,2099,5488
2021 Jul,"90",7523,3433,4090
2021 May,"91",6390,638,5752
2021 Jun,"91",6417,1782,4635
2021 Jul,"91",6443,2847,3596
2021 May,"92",5230,558,4672
2021 Jun,"92",5207,1510,3697
2021 Jul,"92",5183,2346,2837
2021 May,"93",3980,485,3495
2021 Jun,"93",3987,1284,2703
2021 Jul,"93",3993,1933,2060
2021 May,"94",3140,421,2719
2021 Jun,"94",3160,1104,2056
2021 Jul,"94",3180,1606,1574
2021 May,"95+",8200,1592,6608
2021 Jun,"95+",8200,5348,2852
2021 Jul,"95+",8200,7447,753
2021 Aug,"10",67430,-819,68249
2021 Sep,"10",67233,5170,62063
2021 Oct,"10",67037,12316,54721
2021 Aug,"11",68530,121,68409
2021 Sep,"11",68483,6580,61903
2021 Oct,"11",68437,14285,54152
2021 Aug,"12",67640,3886,63754
2021 Sep,"12",67660,32738,34922
2021 Oct,"12",67680,48484,19196
2021 Aug,"13",67860,4627,63233
2021 Sep,"13",67910,32531,35379
2021 Oct,"13",67960,48068,19892
2021 Aug,"14",66860,5395,61465
2021 Sep,"14",67023,32373,34650
2021 Oct,"14",67187,47270,19917
2021 Aug,"15",63690,6186,57504
2021 Sep,"15",63867,32251,31616
2021 Oct,"15",64043,46641,17402
2021 Aug,"16",62390,7107,55283
2021 Sep,"16",62463,32707,29756
2021 Oct,"16",62537,46374,16163
2021 Aug,"17",63070,7969,55101
2021 Sep,"17",62943,32711,30232
2021 Oct,"17",62817,46096,16721
2021 Aug,"18",62250,8841,53409
2021 Sep,"18",62223,32735,29488
2021 Oct,"18",62197,45982,16215
2021 Aug,"19",62440,9768,52672
2021 Sep,"19",62177,32783,29394
2021 Oct,"19",61913,46032,15881
2021 Aug,"20",64440,10789,53651
2021 Sep,"20",64233,32263,31970
2021 Oct,"20",64027,45968,18059
2021 Aug,"21",66270,11741,54529
2021 Sep,"21",66277,32547,33730
2021 Oct,"21",66283,46445,19838
2021 Aug,"22",64910,12670,52240
2021 Sep,"22",64917,32939,31978
2021 Oct,"22",64923,47134,17789
2021 Aug,"23",65940,13637,52303
2021 Sep,"23",65553,33565,31988
2021 Oct,"23",65167,47992,17175
2021 Aug,"24",67460,14553,52907
2021 Sep,"24",67283,34582,32701
2021 Oct,"24",67107,49152,17955
2021 Aug,"25",68940,15433,53507
2021 Sep,"25",68820,36188,32632
2021 Oct,"25",68700,50719,17981
2021 Aug,"26",71200,16193,55007
2021 Sep,"26",70920,37469,33451
2021 Oct,"26",70640,52073,18567
2021 Aug,"27",72230,16874,55356
2021 Sep,"27",72000,38836,33164
2021 Oct,"27",71770,53479,18291
2021 Aug,"28",75200,17446,57754
2021 Sep,"28",74817,40330,34487
2021 Oct,"28",74433,54984,19449
2021 Aug,"29",78180,17875,60305
2021 Sep,"29",77960,41556,36404
2021 Oct,"29",77740,56166,21574
2021 Aug,"30",79480,18179,61301
2021 Sep,"30",79253,42653,36600
2021 Oct,"30",79027,57278,21749
2021 Aug,"31",79640,18404,61236
2021 Sep,"31",79697,43431,36266
2021 Oct,"31",79753,57924,21829
2021 Aug,"32",76560,18538,58022
2021 Sep,"32",76833,43927,32906
2021 Oct,"32",77107,58204,18903
2021 Aug,"33",75880,18586,57294
2021 Sep,"33",75883,43992,31891
2021 Oct,"33",75887,57940,17947
2021 Aug,"34",73430,18546,54884
2021 Sep,"34",73703,43855,29848
2021 Oct,"34",73977,57408,16569
2021 Aug,"35",70490,18453,52037
2021 Sep,"35",70657,43197,27460
2021 Oct,"35",70823,56220,14603
2021 Aug,"36",69410,18388,51022
2021 Sep,"36",69430,42616,26814
2021 Oct,"36",69450,55060,14390
2021 Aug,"37",68170,18322,49848
2021 Sep,"37",68243,42142,26101
2021 Oct,"37",68317,54034,14283
2021 Aug,"38",67420,18327,49093
2021 Sep,"38",67423,41775,25648
2021 Oct,"38",67427,53104,14323
2021 Aug,"39",66520,18375,48145
2021 Sep,"39",66773,41399,25374
2021 Oct,"39",67027,52136,14891
2021 Aug,"40",64930,18479,46451
2021 Sep,"40",64877,41251,23626
2021 Oct,"40",64823,51379,13444
2021 Aug,"41",64020,18668,45352
2021 Sep,"41",64087,41306,22781
2021 Oct,"41",64153,51056,13097
2021 Aug,"42",62720,18943,43777
2021 Sep,"42",62840,41511,21329
2021 Oct,"42",62960,50946,12014
2021 Aug,"43",60940,19284,41656
2021 Sep,"43",61090,41851,19239
2021 Oct,"43",61240,51026,10214
2021 Aug,"44",60980,19722,41258
2021 Sep,"44",60837,42396,18441
2021 Oct,"44",60693,51439,9254
2021 Aug,"45",60680,20249,40431
2021 Sep,"45",60730,43127,17603
2021 Oct,"45",60780,52253,8527
2021 Aug,"46",62140,20876,41264
2021 Sep,"46",61860,43883,17977
2021 Oct,"46",61580,52872,8708
2021 Aug,"47",63950,21589,42361
2021 Sep,"47",63790,44772,19018
2021 Oct,"47",63630,53650,9980
2021 Aug,"48",65760,22379,43381
2021 Sep,"48",65543,45612,19931
2021 Oct,"48",65327,54317,11010
2021 Aug,"49",68370,23252,45118
2021 Sep,"49",68250,46426,21824
2021 Oct,"49",68130,54859,13271
2021 Aug,"50",69080,24215,44865
2021 Sep,"50",68927,47333,21594
2021 Oct,"50",68773,55315,13458
2021 Aug,"51",66950,25180,41770
2021 Sep,"51",67183,48046,19137
2021 Oct,"51",67417,55699,11718
2021 Aug,"52",66800,26187,40613
2021 Sep,"52",66703,48615,18088
2021 Oct,"52",66607,55925,10682
2021 Aug,"53",65340,27187,38153
2021 Sep,"53",65567,49095,16472
2021 Oct,"53",65793,56044,9749
2021 Aug,"54",63820,28209,35611
2021 Sep,"54",63813,49472,14341
2021 Oct,"54",63807,56077,7730
2021 Aug,"55",62910,29182,33728
2021 Sep,"55",62877,49564,13313
2021 Oct,"55",62843,55899,6944
2021 Aug,"56",63390,30169,33221
2021 Sep,"56",63293,49728,13565
2021 Oct,"56",63197,55761,7436
2021 Aug,"57",64650,31174,33476
2021 Sep,"57",64600,49848,14752
2021 Oct,"57",64550,55580,8970
2021 Aug,"58",66210,32093,34117
2021 Sep,"58",66017,49893,16124
2021 Oct,"58",65823,55334,10489
2021 Aug,"59",65440,32945,32495
2021 Sep,"59",65573,49760,15813
2021 Oct,"59",65707,54895,10812
2021 Aug,"60",63990,33838,30152
2021 Sep,"60",63983,49752,14231
2021 Oct,"60",63977,54581,9396
2021 Aug,"61",61400,34502,26898
2021 Sep,"61",61683,49246,12437
2021 Oct,"61",61967,53729,8238
2021 Aug,"62",59830,35039,24791
2021 Sep,"62",59770,48582,11188
2021 Oct,"62",59710,52718,6992
2021 Aug,"63",57680,35466,22214
2021 Sep,"63",57830,47629,10201
2021 Oct,"63",57980,51398,6582
2021 Aug,"64",56210,35709,20501
2021 Sep,"64",56303,46453,9850
2021 Oct,"64",56397,49843,6554
2021 Aug,"65",54350,35725,18625
2021 Sep,"65",54477,44758,9719
2021 Oct,"65",54603,47738,6865
2021 Aug,"66",52720,35721,16999
2021 Sep,"66",52740,43785,8955
2021 Oct,"66",52760,46467,6293
2021 Aug,"67",50840,35556,15284
2021 Sep,"67",50943,42815,8128
2021 Oct,"67",51047,45228,5819
2021 Aug,"68",48690,35251,13439
2021 Sep,"68",48673,42069,6604
2021 Oct,"68",48657,44278,4379
2021 Aug,"69",47580,34810,12770
2021 Sep,"69",47700,41440,6260
2021 Oct,"69",47820,43489,4331
2021 Aug,"70",45710,34309,11401
2021 Sep,"70",45707,41400,4307
2021 Oct,"70",45703,43373,2330
2021 Aug,"71",44800,33450,11350
2021 Sep,"71",44903,40078,4825
2021 Oct,"71",45007,41907,3100
2021 Aug,"72",43620,32398,11222
2021 Sep,"72",43607,38550,5057
2021 Oct,"72",43593,40257,3336
2021 Aug,"73",42850,31203,11647
2021 Sep,"73",42857,36772,6085
2021 Oct,"73",42863,38355,4508
2021 Aug,"74",42530,29791,12739
2021 Sep,"74",42413,34495,7918
2021 Oct,"74",42297,35937,6360
2021 Aug,"75",36190,28053,8137
2021 Sep,"75",36893,31019,5874
2021 Oct,"75",37597,32267,5330
2021 Aug,"76",32970,26426,6544
2021 Sep,"76",33103,28638,4465
2021 Oct,"76",33237,29765,3472
2021 Aug,"77",30090,24714,5376
2021 Sep,"77",30233,26423,3810
2021 Oct,"77",30377,27449,2928
2021 Aug,"78",26250,22933,3317
2021 Sep,"78",26483,24294,2189
2021 Oct,"78",26717,25234,1483
2021 Aug,"79",27410,21231,6179
2021 Sep,"79",27137,22526,4611
2021 Oct,"79",26863,23399,3464
2021 Aug,"80",26290,19485,6805
2021 Sep,"80",26347,21473,4874
2021 Oct,"80",26403,22335,4068
2021 Aug,"81",23840,17766,6074
2021 Sep,"81",23967,19849,4118
2021 Oct,"81",24093,20662,3431
2021 Aug,"82",20540,16077,4463
2021 Sep,"82",20753,18186,2567
2021 Oct,"82",20967,18946,2021
2021 Aug,"83",18510,14387,4123
2021 Sep,"83",18547,16562,1985
2021 Oct,"83",18583,17274,1309
2021 Aug,"84",16110,12787,3323
2021 Sep,"84",16267,14931,1336
2021 Oct,"84",16423,15590,833
2021 Aug,"85",14410,11229,3181
2021 Sep,"85",14500,12987,1513
2021 Oct,"85",14590,13570,1020
