"Notes","State","State Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"North Dakota","38","< 1 year","1",52,7547,689.0
,"North Dakota","38","1-4 years","1-4",17,32285,Unreliable
,"North Dakota","38","5-9 years","5-9",Suppressed,43592,Suppressed
,"North Dakota","38","10-14 years","10-14",Suppressed,48152,Suppressed
,"North Dakota","38","15-19 years","15-19",38,54178,70.1
,"North Dakota","38","20-24 years","20-24",46,49765,92.4
,"North Dakota","38","25-29 years","25-29",31,39953,77.6
,"North Dakota","38","30-34 years","30-34",40,38532,103.8
,"North Dakota","38","35-39 years","35-39",54,48510,111.3
,"North Dakota","38","40-44 years","40-44",96,51351,186.9
,"North Dakota","38","45-49 years","45-49",113,46436,243.3
,"North Dakota","38","50-54 years","50-54",139,36468,381.2
,"North Dakota","38","55-59 years","55-59",209,28259,739.6
,"North Dakota","38","60-64 years ","60-64",279,24860,1122.3
,"North Dakota","38","65-69 years","65-69",394,23242,1695.2
,"North Dakota","38","70-74 years","70-74",593,22820,2598.6
,"North Dakota","38","75-79 years","75-79",805,19071,4221.1
,"North Dakota","38","80-84 years","80-84",974,14680,6634.9
,"North Dakota","38","85-89 years","85-89",1045,Not Applicable,Not Applicable
,"North Dakota","38","90-94 years","90-94",759,Not Applicable,Not Applicable
,"North Dakota","38","95-99 years","95-99",326,Not Applicable,Not Applicable
,"North Dakota","38","100+ years","100+",81,Not Applicable,Not Applicable
,"North Dakota","38","Not Stated","NS",0,Not Applicable,Not Applicable
,"Ohio","39","< 1 year","1",1244,148182,839.5
,"Ohio","39","1-4 years","1-4",192,609007,31.5
,"Ohio","39","5-9 years","5-9",131,820559,16.0
,"Ohio","39","10-14 years","10-14",137,823530,16.6
,"Ohio","39","15-19 years","15-19",529,820849,64.4
,"Ohio","39","20-24 years","20-24",594,724016,82.0
,"Ohio","39","25-29 years","25-29",625,751195,83.2
,"Ohio","39","30-34 years","30-34",851,788462,107.9
,"Ohio","39","35-39 years","35-39",1382,897269,154.0
,"Ohio","39","40-44 years","40-44",2143,919604,233.0
,"Ohio","39","45-49 years","45-49",2753,821791,335.0
,"Ohio","39","50-54 years","50-54",3576,702962,508.7
,"Ohio","39","55-59 years","55-59",4511,546215,825.9
,"Ohio","39","60-64 years ","60-64",6104,456222,1337.9
,"Ohio","39","65-69 years","65-69",8683,405056,2143.7
,"Ohio","39","70-74 years","70-74",13065,391012,3341.3
,"Ohio","39","75-79 years","75-79",16207,322507,5025.3
,"Ohio","39","80-84 years","80-84",16866,213209,7910.5
,"Ohio","39","85-89 years","85-89",14986,Not Applicable,Not Applicable
,"Ohio","39","90-94 years","90-94",9519,Not Applicable,Not Applicable
,"Ohio","39","95-99 years","95-99",3646,Not Applicable,Not Applicable
,"Ohio","39","100+ years","100+",771,Not Applicable,Not Applicable
,"Ohio","39","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Oklahoma","40","< 1 year","1",417,47326,881.1
,"Oklahoma","40","1-4 years","1-4",98,186830,52.5
,"Oklahoma","40","5-9 years","5-9",50,247229,20.2
,"Oklahoma","40","10-14 years","10-14",63,253035,24.9
,"Oklahoma","40","15-19 years","15-19",235,270348,86.9
,"Oklahoma","40","20-24 years","20-24",267,244428,109.2
,"Oklahoma","40","25-29 years","25-29",259,230375,112.4
,"Oklahoma","40","30-34 years","30-34",339,222269,152.5
,"Oklahoma","40","35-39 years","35-39",500,264617,189.0
,"Oklahoma","40","40-44 years","40-44",751,262529,286.1
,"Oklahoma","40","45-49 years","45-49",964,235774,408.9
,"Oklahoma","40","50-54 years","50-54",1200,206895,580.0
,"Oklahoma","40","55-59 years","55-59",1594,169020,943.1
,"Oklahoma","40","60-64 years ","60-64",2043,142567,1433.0
,"Oklahoma","40","65-69 years","65-69",2777,128285,2164.7
,"Oklahoma","40","70-74 years","70-74",3797,113578,3343.1
,"Oklahoma","40","75-79 years","75-79",4824,93343,5168.0
,"Oklahoma","40","80-84 years","80-84",4996,61804,8083.6
,"Oklahoma","40","85-89 years","85-89",4817,Not Applicable,Not Applicable
,"Oklahoma","40","90-94 years","90-94",3248,Not Applicable,Not Applicable
,"Oklahoma","40","95-99 years","95-99",1222,Not Applicable,Not Applicable
,"Oklahoma","40","100+ years","100+",234,Not Applicable,Not Applicable
,"Oklahoma","40","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Oregon","41","< 1 year","1",261,43923,594.2
,"Oregon","41","1-4 years","1-4",49,177536,27.6
,"Oregon","41","5-9 years","5-9",42,234335,17.9
,"Oregon","41","10-14 years","10-14",53,240424,22.0
,"Oregon","41","15-19 years","15-19",134,244611,54.8
,"Oregon","41","20-24 years","20-24",158,225328,70.1
,"Oregon","41","25-29 years","25-29",188,232622,80.8
,"Oregon","41","30-34 years","30-34",236,234262,100.7
,"Oregon","41","35-39 years","35-39",379,260244,145.6
,"Oregon","41","40-44 years","40-44",547,273153,200.3
,"Oregon","41","45-49 years","45-49",813,268975,302.3
,"Oregon","41","50-54 years","50-54",1036,226015,458.4
,"Oregon","41","55-59 years","55-59",1156,167191,691.4
,"Oregon","41","60-64 years ","60-64",1490,128772,1157.1
,"Oregon","41","65-69 years","65-69",2056,112788,1822.9
,"Oregon","41","70-74 years","70-74",3155,107314,2940.0
,"Oregon","41","75-79 years","75-79",4310,94830,4545.0
,"Oregon","41","80-84 years","80-84",4757,65433,7270.0
,"Oregon","41","85-89 years","85-89",4439,Not Applicable,Not Applicable
,"Oregon","41","90-94 years","90-94",2854,Not Applicable,Not Applicable
,"Oregon","41","95-99 years","95-99",1069,Not Applicable,Not Applicable
,"Oregon","41","100+ years","100+",240,Not Applicable,Not Applicable
,"Oregon","41","Not Stated","NS",0,Not Applicable,Not Applicable
,"Pennsylvania","42","< 1 year","1",1058,140732,751.8
,"Pennsylvania","42","1-4 years","1-4",183,591206,31.0
,"Pennsylvania","42","5-9 years","5-9",151,838719,18.0
,"Pennsylvania","42","10-14 years","10-14",142,856318,16.6
,"Pennsylvania","42","15-19 years","15-19",546,848682,64.3
,"Pennsylvania","42","20-24 years","20-24",747,740343,100.9
,"Pennsylvania","42","25-29 years","25-29",693,760654,91.1
,"Pennsylvania","42","30-34 years","30-34",969,829015,116.9
,"Pennsylvania","42","35-39 years","35-39",1542,964553,159.9
,"Pennsylvania","42","40-44 years","40-44",2273,993222,228.9
,"Pennsylvania","42","45-49 years","45-49",2994,891134,336.0
,"Pennsylvania","42","50-54 years","50-54",3883,767932,505.6
,"Pennsylvania","42","55-59 years","55-59",4991,608509,820.2
,"Pennsylvania","42","60-64 years ","60-64",6451,512226,1259.4
,"Pennsylvania","42","65-69 years","65-69",9741,486942,2000.4
,"Pennsylvania","42","70-74 years","70-74",15098,495142,3049.2
,"Pennsylvania","42","75-79 years","75-79",19842,419105,4734.4
,"Pennsylvania","42","80-84 years","80-84",21791,287136,7589.1
,"Pennsylvania","42","85-89 years","85-89",19603,Not Applicable,Not Applicable
,"Pennsylvania","42","90-94 years","90-94",12146,Not Applicable,Not Applicable
,"Pennsylvania","42","95-99 years","95-99",4502,Not Applicable,Not Applicable
,"Pennsylvania","42","100+ years","100+",925,Not Applicable,Not Applicable
,"Pennsylvania","42","Not Stated","NS",12,Not Applicable,Not Applicable
,"Rhode Island","44","< 1 year","1",71,12244,579.9
,"Rhode Island","44","1-4 years","1-4",12,52027,Unreliable
,"Rhode Island","44","5-9 years","5-9",15,72625,Unreliable
,"Rhode Island","44","10-14 years","10-14",10,69692,Unreliable
,"Rhode Island","44","15-19 years","15-19",30,73898,40.6
,"Rhode Island","44","20-24 years","20-24",40,69602,57.5
,"Rhode Island","44","25-29 years","25-29",41,69058,59.4
,"Rhode Island","44","30-34 years","30-34",63,74605,84.4
,"Rhode Island","44","35-39 years","35-39",143,85892,166.5
,"Rhode Island","44","40-44 years","40-44",163,83913,194.2
,"Rhode Island","44","45-49 years","45-49",198,73294,270.1
,"Rhode Island","44","50-54 years","50-54",284,63917,444.3
,"Rhode Island","44","55-59 years","55-59",336,48135,698.0
,"Rhode Island","44","60-64 years ","60-64",454,38740,1171.9
,"Rhode Island","44","65-69 years","65-69",643,36565,1758.5
,"Rhode Island","44","70-74 years","70-74",1090,38437,2835.8
,"Rhode Island","44","75-79 years","75-79",1413,33734,4188.7
,"Rhode Island","44","80-84 years","80-84",1615,23522,6865.9
,"Rhode Island","44","85-89 years","85-89",1575,Not Applicable,Not Applicable
,"Rhode Island","44","90-94 years","90-94",1054,Not Applicable,Not Applicable
,"Rhode Island","44","95-99 years","95-99",366,Not Applicable,Not Applicable
,"Rhode Island","44","100+ years","100+",89,Not Applicable,Not Applicable
,"Rhode Island","44","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"South Carolina","45","< 1 year","1",563,53472,1052.9
,"South Carolina","45","1-4 years","1-4",94,208594,45.1
,"South Carolina","45","5-9 years","5-9",50,289113,17.3
,"South Carolina","45","10-14 years","10-14",79,285947,27.6
,"South Carolina","45","15-19 years","15-19",244,295241,82.6
,"South Carolina","45","20-24 years","20-24",312,278087,112.2
,"South Carolina","45","25-29 years","25-29",324,282219,114.8
,"South Carolina","45","30-34 years","30-34",406,282553,143.7
,"South Carolina","45","35-39 years","35-39",673,314683,213.9
,"South Carolina","45","40-44 years","40-44",972,307600,316.0
,"South Carolina","45","45-49 years","45-49",1327,281896,470.7
,"South Carolina","45","50-54 years","50-54",1657,252394,656.5
,"South Carolina","45","55-59 years","55-59",1983,199582,993.6
,"South Carolina","45","60-64 years ","60-64",2539,163432,1553.6
,"South Carolina","45","65-69 years","65-69",3241,145052,2234.4
,"South Carolina","45","70-74 years","70-74",4220,124344,3393.8
,"South Carolina","45","75-79 years","75-79",5109,99953,5111.4
,"South Carolina","45","80-84 years","80-84",4786,61867,7735.9
,"South Carolina","45","85-89 years","85-89",4073,Not Applicable,Not Applicable
,"South Carolina","45","90-94 years","90-94",2364,Not Applicable,Not Applicable
,"South Carolina","45","95-99 years","95-99",843,Not Applicable,Not Applicable
,"South Carolina","45","100+ years","100+",192,Not Applicable,Not Applicable
,"South Carolina","45","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"South Dakota","46","< 1 year","1",94,10011,939.0
,"South Dakota","46","1-4 years","1-4",10,40713,Unreliable
,"South Dakota","46","5-9 years","5-9",Suppressed,55266,Suppressed
,"South Dakota","46","10-14 years","10-14",22,59848,36.8
,"South Dakota","46","15-19 years","15-19",62,62829,98.7
,"South Dakota","46","20-24 years","20-24",53,51766,102.4
,"South Dakota","46","25-29 years","25-29",47,44989,104.5
,"South Dakota","46","30-34 years","30-34",52,45933,113.2
,"South Dakota","46","35-39 years","35-39",91,57480,158.3
,"South Dakota","46","40-44 years","40-44",123,58288,211.0
,"South Dakota","46","45-49 years","45-49",160,52413,305.3
,"South Dakota","46","50-54 years","50-54",207,41612,497.5
,"South Dakota","46","55-59 years","55-59",237,32687,725.1
,"South Dakota","46","60-64 years ","60-64",322,28796,1118.2
,"South Dakota","46","65-69 years","65-69",447,27183,1644.4
,"South Dakota","46","70-74 years","70-74",686,26056,2632.8
,"South Dakota","46","75-79 years","75-79",865,22549,3836.1
,"South Dakota","46","80-84 years","80-84",1083,16143,6708.8
,"South Dakota","46","85-89 years","85-89",1084,Not Applicable,Not Applicable
,"South Dakota","46","90-94 years","90-94",781,Not Applicable,Not Applicable
,"South Dakota","46","95-99 years","95-99",423,Not Applicable,Not Applicable
,"South Dakota","46","100+ years","100+",96,Not Applicable,Not Applicable
,"South Dakota","46","Not Stated","NS",0,Not Applicable,Not Applicable
,"Tennessee","47","< 1 year","1",599,74673,802.2
,"Tennessee","47","1-4 years","1-4",125,296171,42.2
,"Tennessee","47","5-9 years","5-9",90,394276,22.8
,"Tennessee","47","10-14 years","10-14",109,388130,28.1
,"Tennessee","47","15-19 years","15-19",360,395646,91.0
,"Tennessee","47","20-24 years","20-24",427,381011,112.1
,"Tennessee","47","25-29 years","25-29",493,408164,120.8
,"Tennessee","47","30-34 years","30-34",571,412169,138.5
,"Tennessee","47","35-39 years","35-39",949,453698,209.2
,"Tennessee","47","40-44 years","40-44",1330,445882,298.3
,"Tennessee","47","45-49 years","45-49",1705,405455,420.5
,"Tennessee","47","50-54 years","50-54",2141,361477,592.3
,"Tennessee","47","55-59 years","55-59",2742,286681,956.5
,"Tennessee","47","60-64 years ","60-64",3467,236999,1462.9
,"Tennessee","47","65-69 years","65-69",4563,203089,2246.8
,"Tennessee","47","70-74 years","70-74",5952,177624,3350.9
,"Tennessee","47","75-79 years","75-79",7454,143728,5186.2
,"Tennessee","47","80-84 years","80-84",7507,93466,8031.8
,"Tennessee","47","85-89 years","85-89",7014,Not Applicable,Not Applicable
,"Tennessee","47","90-94 years","90-94",4268,Not Applicable,Not Applicable
,"Tennessee","47","95-99 years","95-99",1592,Not Applicable,Not Applicable
,"Tennessee","47","100+ years","100+",298,Not Applicable,Not Applicable
,"Tennessee","47","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Texas","48","< 1 year","1",2164,332378,651.1
,"Texas","48","1-4 years","1-4",459,1284813,35.7
,"Texas","48","5-9 years","5-9",324,1640288,19.8
,"Texas","48","10-14 years","10-14",368,1611277,22.8
,"Texas","48","15-19 years","15-19",1153,1619632,71.2
,"Texas","48","20-24 years","20-24",1397,1498912,93.2
,"Texas","48","25-29 years","25-29",1376,1574407,87.4
,"Texas","48","30-34 years","30-34",1747,1567480,111.5
,"Texas","48","35-39 years","35-39",2714,1697408,159.9
,"Texas","48","40-44 years","40-44",3804,1603808,237.2
,"Texas","48","45-49 years","45-49",4792,1374078,348.7
,"Texas","48","50-54 years","50-54",5858,1146781,510.8
,"Texas","48","55-59 years","55-59",7151,863292,828.3
,"Texas","48","60-64 years ","60-64",8780,693373,1266.3
,"Texas","48","65-69 years","65-69",11960,604694,1977.9
,"Texas","48","70-74 years","70-74",16420,529022,3103.8
,"Texas","48","75-79 years","75-79",19863,416805,4765.5
,"Texas","48","80-84 years","80-84",19895,266005,7479.2
,"Texas","48","85-89 years","85-89",18885,Not Applicable,Not Applicable
,"Texas","48","90-94 years","90-94",12079,Not Applicable,Not Applicable
,"Texas","48","95-99 years","95-99",4675,Not Applicable,Not Applicable
,"Texas","48","100+ years","100+",975,Not Applicable,Not Applicable
,"Texas","48","Not Stated","NS",19,Not Applicable,Not Applicable
,"Utah","49","< 1 year","1",224,44276,505.9
,"Utah","49","1-4 years","1-4",50,162157,30.8
,"Utah","49","5-9 years","5-9",28,190841,14.7
,"Utah","49","10-14 years","10-14",29,191810,15.1
,"Utah","49","15-19 years","15-19",126,219171,57.5
,"Utah","49","20-24 years","20-24",173,217614,79.5
,"Utah","49","25-29 years","25-29",128,173293,73.9
,"Utah","49","30-34 years","30-34",183,148235,123.5
,"Utah","49","35-39 years","35-39",251,151548,165.6
,"Utah","49","40-44 years","40-44",305,147706,206.5
,"Utah","49","45-49 years","45-49",389,128072,303.7
,"Utah","49","50-54 years","50-54",408,101529,401.9
,"Utah","49","55-59 years","55-59",427,77681,549.7
,"Utah","49","60-64 years ","60-64",601,61905,970.8
,"Utah","49","65-69 years","65-69",857,53298,1607.9
,"Utah","49","70-74 years","70-74",1199,47428,2528.0
,"Utah","49","75-79 years","75-79",1541,39175,3933.6
,"Utah","49","80-84 years","80-84",1876,26586,7056.3
,"Utah","49","85-89 years","85-89",1695,Not Applicable,Not Applicable
,"Utah","49","90-94 years","90-94",1135,Not Applicable,Not Applicable
,"Utah","49","95-99 years","95-99",364,Not Applicable,Not Applicable
,"Utah","49","100+ years","100+",67,Not Applicable,Not Applicable
,"Utah","49","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Vermont","50","< 1 year","1",38,6329,600.4
,"Vermont","50","1-4 years","1-4",Suppressed,27596,Suppressed
,"Vermont","50","5-9 years","5-9",10,41931,Unreliable
,"Vermont","50","10-14 years","10-14",Suppressed,45159,Suppressed
,"Vermont","50","15-19 years","15-19",26,45231,57.5
,"Vermont","50","20-24 years","20-24",27,37141,72.7
,"Vermont","50","25-29 years","25-29",31,36188,85.7
,"Vermont","50","30-34 years","30-34",35,39818,87.9
,"Vermont","50","35-39 years","35-39",64,50052,127.9
,"Vermont","50","40-44 years","40-44",90,52562,171.2
,"Vermont","50","45-49 years","45-49",114,49200,231.7
,"Vermont","50","50-54 years","50-54",185,41795,442.6
,"Vermont","50","55-59 years","55-59",196,31228,627.6
,"Vermont","50","60-64 years ","60-64",278,23826,1166.8
,"Vermont","50","65-69 years","65-69",395,20963,1884.3
,"Vermont","50","70-74 years","70-74",573,19432,2948.7
,"Vermont","50","75-79 years","75-79",712,15635,4553.9
,"Vermont","50","80-84 years","80-84",770,10743,7167.5
,"Vermont","50","85-89 years","85-89",702,Not Applicable,Not Applicable
,"Vermont","50","90-94 years","90-94",489,Not Applicable,Not Applicable
,"Vermont","50","95-99 years","95-99",211,Not Applicable,Not Applicable
,"Vermont","50","100+ years","100+",36,Not Applicable,Not Applicable
,"Vermont","50","Not Stated","NS",0,Not Applicable,Not Applicable
,"Virginia","51","< 1 year","1",693,91863,754.4
,"Virginia","51","1-4 years","1-4",110,366586,30.0
,"Virginia","51","5-9 years","5-9",63,496005,12.7
,"Virginia","51","10-14 years","10-14",91,485971,18.7
,"Virginia","51","15-19 years","15-19",304,478532,63.5
,"Virginia","51","20-24 years","20-24",375,470223,79.7
,"Virginia","51","25-29 years","25-29",419,504307,83.1
,"Virginia","51","30-34 years","30-34",550,544128,101.1
,"Virginia","51","35-39 years","35-39",917,610098,150.3
,"Virginia","51","40-44 years","40-44",1276,580535,219.8
,"Virginia","51","45-49 years","45-49",1636,514775,317.8
,"Virginia","51","50-54 years","50-54",2100,457163,459.4
,"Virginia","51","55-59 years","55-59",2721,346619,785.0
,"Virginia","51","60-64 years ","60-64",3389,268232,1263.5
,"Virginia","51","65-69 years","65-69",4766,229657,2075.3
,"Virginia","51","70-74 years","70-74",6395,202791,3153.5
,"Virginia","51","75-79 years","75-79",8105,163616,4953.7
,"Virginia","51","80-84 years","80-84",8057,103867,7757.0
,"Virginia","51","85-89 years","85-89",7097,Not Applicable,Not Applicable
,"Virginia","51","90-94 years","90-94",4331,Not Applicable,Not Applicable
,"Virginia","51","95-99 years","95-99",1578,Not Applicable,Not Applicable
,"Virginia","51","100+ years","100+",341,Not Applicable,Not Applicable
,"Virginia","51","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Washington","53","< 1 year","1",400,77332,517.3
,"Washington","53","1-4 years","1-4",90,315531,28.5
,"Washington","53","5-9 years","5-9",69,427119,16.2
,"Washington","53","10-14 years","10-14",76,430279,17.7
,"Washington","53","15-19 years","15-19",257,424735,60.5
,"Washington","53","20-24 years","20-24",308,380775,80.9
,"Washington","53","25-29 years","25-29",295,403057,73.2
,"Washington","53","30-34 years","30-34",412,438866,93.9
,"Washington","53","35-39 years","35-39",646,491019,131.6
,"Washington","53","40-44 years","40-44",934,490566,190.4
,"Washington","53","45-49 years","45-49",1202,445731,269.7
,"Washington","53","50-54 years","50-54",1528,377487,404.8
,"Washington","53","55-59 years","55-59",1809,274976,657.9
,"Washington","53","60-64 years ","60-64",2318,207736,1115.8
,"Washington","53","65-69 years","65-69",3253,175615,1852.3
,"Washington","53","70-74 years","70-74",4657,160954,2893.4
,"Washington","53","75-79 years","75-79",6311,141946,4446.1
,"Washington","53","80-84 years","80-84",6872,96607,7113.4
,"Washington","53","85-89 years","85-89",6469,Not Applicable,Not Applicable
,"Washington","53","90-94 years","90-94",4006,Not Applicable,Not Applicable
,"Washington","53","95-99 years","95-99",1568,Not Applicable,Not Applicable
,"Washington","53","100+ years","100+",382,Not Applicable,Not Applicable
,"Washington","53","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"West Virginia","54","< 1 year","1",154,20075,767.1
,"West Virginia","54","1-4 years","1-4",23,82437,27.9
,"West Virginia","54","5-9 years","5-9",20,112026,17.9
,"West Virginia","54","10-14 years","10-14",35,116999,29.9
,"West Virginia","54","15-19 years","15-19",112,129301,86.6
,"West Virginia","54","20-24 years","20-24",124,121695,101.9
,"West Virginia","54","25-29 years","25-29",129,115558,111.6
,"West Virginia","54","30-34 years","30-34",149,113811,130.9
,"West Virginia","54","35-39 years","35-39",256,131891,194.1
,"West Virginia","54","40-44 years","40-44",406,143766,282.4
,"West Virginia","54","45-49 years","45-49",486,140462,346.0
,"West Virginia","54","50-54 years","50-54",700,124022,564.4
,"West Virginia","54","55-59 years","55-59",893,97143,919.3
,"West Virginia","54","60-64 years ","60-64",1306,85815,1521.9
,"West Virginia","54","65-69 years","65-69",1776,76359,2325.9
,"West Virginia","54","70-74 years","70-74",2604,73112,3561.7
,"West Virginia","54","75-79 years","75-79",3200,58099,5507.8
,"West Virginia","54","80-84 years","80-84",3257,37793,8618.0
,"West Virginia","54","85-89 years","85-89",2887,Not Applicable,Not Applicable
,"West Virginia","54","90-94 years","90-94",1748,Not Applicable,Not Applicable
,"West Virginia","54","95-99 years","95-99",637,Not Applicable,Not Applicable
,"West Virginia","54","100+ years","100+",147,Not Applicable,Not Applicable
,"West Virginia","54","Not Stated","NS",0,Not Applicable,Not Applicable
,"Wisconsin","55","< 1 year","1",459,65920,696.3
,"Wisconsin","55","1-4 years","1-4",110,269904,40.8
,"Wisconsin","55","5-9 years","5-9",63,383130,16.4
,"Wisconsin","55","10-14 years","10-14",83,404270,20.5
,"Wisconsin","55","15-19 years","15-19",256,407067,62.9
,"Wisconsin","55","20-24 years","20-24",313,350798,89.2
,"Wisconsin","55","25-29 years","25-29",249,339102,73.4
,"Wisconsin","55","30-34 years","30-34",325,374238,86.8
,"Wisconsin","55","35-39 years","35-39",515,441021,116.8
,"Wisconsin","55","40-44 years","40-44",743,435951,170.4
,"Wisconsin","55","45-49 years","45-49",1040,389465,267.0
,"Wisconsin","55","50-54 years","50-54",1325,320353,413.6
,"Wisconsin","55","55-59 years","55-59",1728,246287,701.6
,"Wisconsin","55","60-64 years ","60-64",2281,203967,1118.3
,"Wisconsin","55","65-69 years","65-69",3330,182689,1822.8
,"Wisconsin","55","70-74 years","70-74",5014,173850,2884.1
,"Wisconsin","55","75-79 years","75-79",6380,145784,4376.3
,"Wisconsin","55","80-84 years","80-84",7690,104704,7344.5
,"Wisconsin","55","85-89 years","85-89",7253,Not Applicable,Not Applicable
,"Wisconsin","55","90-94 years","90-94",5065,Not Applicable,Not Applicable
,"Wisconsin","55","95-99 years","95-99",2010,Not Applicable,Not Applicable
,"Wisconsin","55","100+ years","100+",440,Not Applicable,Not Applicable
,"Wisconsin","55","Not Stated","NS",0,Not Applicable,Not Applicable
,"Wyoming","56","< 1 year","1",42,6070,691.9
,"Wyoming","56","1-4 years","1-4",Suppressed,25021,Suppressed
,"Wyoming","56","5-9 years","5-9",19,34679,Unreliable
,"Wyoming","56","10-14 years","10-14",12,39170,Unreliable
,"Wyoming","56","15-19 years","15-19",45,42523,105.8
,"Wyoming","56","20-24 years","20-24",39,33185,117.5
,"Wyoming","56","25-29 years","25-29",24,29627,81.0
,"Wyoming","56","30-34 years","30-34",33,29400,112.2
,"Wyoming","56","35-39 years","35-39",66,37875,174.3
,"Wyoming","56","40-44 years","40-44",94,42628,220.5
,"Wyoming","56","45-49 years","45-49",121,39777,304.2
,"Wyoming","56","50-54 years","50-54",156,31755,491.3
,"Wyoming","56","55-59 years","55-59",179,24050,744.3
,"Wyoming","56","60-64 years ","60-64",230,19186,1198.8
,"Wyoming","56","65-69 years","65-69",328,16464,1992.2
,"Wyoming","56","70-74 years","70-74",419,14640,2862.0
,"Wyoming","56","75-79 years","75-79",537,11533,4656.2
,"Wyoming","56","80-84 years","80-84",608,7649,7948.8
,"Wyoming","56","85-89 years","85-89",541,Not Applicable,Not Applicable
,"Wyoming","56","90-94 years","90-94",365,Not Applicable,Not Applicable
,"Wyoming","56","95-99 years","95-99",151,Not Applicable,Not Applicable
,"Wyoming","56","100+ years","100+",29,Not Applicable,Not Applicable
,"Wyoming","56","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
